id,campaign_title,audience,subject_line,preview_text,emails_sent,unsubscribed,send_date,send_hour,hard_bounces,soft_bounces,number_of_forwards,number_of_forwards_opened,total_opens,unique_opens,unique_open_rate,total_clicks,unique_clicks,true_ctr
05bacf772f,In The Know 5.4.22 CORP RESEND,Internal,ICYMI: See the Employees of the Year!,"Updates from Marketing, HR Tools & More",265,0,2022-05-06,08 AM,0,1,0,0,57,33,0.12452830188679245,2,1,0.03508771929824561
a52698d383,In The Know 5.4.22 SL ONLY,Internal,See the Employees of the Year!,Updates from Human Resources & More,1477,0,2022-05-04,08 AM,0,11,0,0,676,569,0.3852403520649966,30,18,0.04437869822485207
a476b06433,In The Know 5.4.22 CORP,Internal,See the Employees of the Year!,"Updates from Marketing, HR Tools & More",498,0,2022-05-04,08 AM,2,0,0,0,545,232,0.46586345381526106,124,44,0.22752293577981653
9f08e37039,Gold Star Realtor 2022 eblast #2,External,Reminder: You're Invited to the Gold Star Realtor Dinner!,RSVP Today,38,0,2022-05-02,02 PM,0,1,0,0,31,21,0.5526315789473685,6,4,0.1935483870967742
21683b5c7b,ENews April 2022 RESEND,External,ICYMI: See Our Wins from the 2022 MAME Awards!,"Smart Homebuying, Richmond Housing Market & More",1830,2,2022-05-02,01 PM,0,51,0,0,282,213,0.11639344262295082,0,0,0.0
f75bc37d2a,In The Know 4.27.22 CORP RESEND,Internal,ICYMI: Employee of the Year Awards Today!,"Apartment Living News, Team Updates & More",260,0,2022-04-29,08 AM,0,2,0,0,130,58,0.2230769230769231,35,13,0.2692307692307692
c4743fc139,ENews April 2022,External,See Our Wins from the 2022 MAME Awards!,"Smart Homebuying, Richmond Housing Market & More",2816,8,2022-04-28,01 PM,8,49,0,0,1429,988,0.3508522727272727,25,15,0.01749475157452764
22f7b53d68,Hickory Park Office Updates - May 2022,Internal,Hickory Park Office Reminders,Refrigerator & Freezer Clean Out,148,0,2022-04-27,02 PM,0,1,0,0,91,56,0.3783783783783784,2,2,0.02197802197802198
cdc7767197,In The Know 4.27.22 SL ONLY,Internal,See Ways We Deliver on our Brand Promises,"Team Updates, Apartment Living News & More! ",1479,1,2022-04-27,08 AM,1,12,0,0,722,551,0.37254901960784315,45,26,0.062326869806094184
1b93707726,In The Know 4.27.22 CORP,Internal,Employee of the Year Awards This Friday!,"Apartment Living News, Team Updates & More",498,0,2022-04-27,08 AM,0,2,0,0,603,249,0.5,212,80,0.351575456053068
936f41adc2,Dev Update April 2022 RESEND,External,ICYMI: See Exciting Updates in Communities Near You!,"Mosaic's Bark Park, Event Recaps & More",3471,11,2022-04-22,04 PM,6,36,0,0,863,669,0.19273984442523767,138,118,0.15990730011587487
83182e8a24,Gold Star Realtor 2022 eblast #1,External,You're Invited to the Gold Star Realtor Dinner!,RSVP Today,38,0,2022-04-22,01 PM,0,1,0,0,54,20,0.5263157894736842,16,12,0.2962962962962963
185e2d19a3,In The Know 4.20.22 CORP RESEND,Internal,ICYMI: See Our Wins from the MAME Awards!,"Green COVID-19 Office Update, New Team Member & More",218,0,2022-04-22,10 AM,0,2,0,0,146,93,0.42660550458715596,368,350,2.5205479452054793
1afee5608b,In The Know 4.20.22 SL ONLY RESEND,Internal,ICYMI: See Our Wins from the MAME Awards!,"New Team Member, Featured Jobs & More",956,0,2022-04-22,10 AM,0,13,0,0,196,159,0.16631799163179917,27,11,0.1377551020408163
3b6f006446,Dev Update April 2022,External,See Exciting Updates in Communities Near You!,"Mosaic's Bark Park, Event Recaps & More",5229,29,2022-04-20,04 PM,10,36,0,0,2658,1832,0.3503537961369287,485,321,0.18246802106847254
f97490882d,In The Know 4.20.22 SL ONLY,Internal,See Our Wins from the MAME Awards!,"New Team Member, Featured Jobs & More",1494,3,2022-04-20,10 AM,10,12,0,0,786,586,0.392235609103079,51,31,0.0648854961832061
d8c7de40bc,In The Know 4.20.22 CORP ,Internal,See Our Wins from the MAME Awards!,"Green COVID-19 Office Update, New Team Member & More",496,0,2022-04-20,10 AM,0,2,0,0,833,285,0.5745967741935484,697,428,0.8367346938775511
b1c4b27597,erase testing GROUPS (brian here),Testing Groups,testing groups 1,,1,0,2022-04-14,06 PM,0,0,0,0,4,1,1.0,0,0,0.0
51dcb40148,Dev Update March 2022 RESEND,External,ICYMI: Check Out Progress on New Amenities!,Development Updates Are In,3303,16,2022-03-25,04 PM,2,23,0,0,786,545,0.16500151377535574,124,98,0.15776081424936386
1043b15b89,Dev Update March 2022,External,Check Out Progress on New Amenities!,Development Updates Are In,5493,23,2022-03-22,04 PM,10,26,0,0,3411,2270,0.4132532313853996,528,372,0.1547933157431838
989e484b0d,February 2022 Dev Update RESEND,External,ICYMI: Get the Latest News on Our Community Developments!,"Outdoor Amenities, Dog Park and More",3677,16,2022-02-17,03 PM,2,18,0,0,1032,701,0.19064454718520532,114,82,0.11046511627906977
0abebaffaa,February 2022 Dev Update,External,Get the Latest News on Our Community Developments!,"Outdoor Amenities, Dog Park and More",5400,24,2022-02-15,03 PM,7,17,0,0,3203,1817,0.3364814814814815,437,297,0.13643459256946613
